question,answer,Declarative_Text
"Miss Bonhomme, good morning.","Good morning, Mr. Bigger."
It's nice to see you again.,Same. Same here.
"We said hello we said hello off the record, but for the record, hello. I know you've had your deposition taken before. But just by way of reminder, we have to try not to talk over each other. If you don't understand any of the questions that I'm asking, please let me know, and I'll rephrase. You know, I need actual answers rather than head nods, all that sort of thing. I know you're familiar with all that.",Yes.
Okay. You understand why we're here today?,Yes.
So you are the designee on behalf of Philip Morris USA to speak to certain issues in the Lourie case which is pending in Tampa?,"That's my understanding, yes."
Okay. And the general issues that have been defined by the court for today's deposition are those related to youth smoking and youth marketing. Is that also your understanding?,"That's my understanding, yes."
"Okay. I'm not going to I actually don't have a copy, to be quite honest, to mark for the record, but you've seen a copy of the Notice of Taking your Depositions in this case?",Yes.
"And obviously it said to be here today, and you're here today?",Yes.
Have you also seen something called a Verified Worksheet or a Defendant's Verified Worksheet?,No.
You've never seen that?,"No. 4 Q. Okay. Well, I won't go I won't go over the details. But yeah, since you haven't seen it, I'm now just not going to spend time going over that right A Q Okay? Okay. j But as we said, you do understand you're here today to speak for Philip Morris and give its position on various issues related to youth smoking and j youth A Q marketing? Yes, I understand that. ji Okay. All right."
What I'm. handing you right now is what we've previously marked as PT6142.,
"So, Miss Bonhomme, your attorney, Mr. Geraghty, has handed you a copy of what we've marked as PT6142. Do you see that document?","Yes, I do."
"And just for your reference, the PT numbers are our Exhibit Numbers. They should be down on the bottom right-hand corner of most of these documents.",
"So if I'm talking about a PT something, that's usually where the number is going to be. You'll find it on the first page at least.",Okay. Thank you.
"And so what I've handed you is a letter that is from February 14th, 1952.",Yes.
"And it is written to a Ms. Gladys Dickey in Encino, California?","That's correct, yes."
And the author of this letter is a gentleman named W.F. Greenwald.,Yes. j
"Are you familiar with Mr. Greenwald, or I guess maybe it was Dr. Greenwald?",I'm not familiar with him. I see that he's : a research director that worked at Philip Morris. i
And you,I did not know him. This goes back to I I
I understand.,-- about the time I was born. i
Fair qualification.,Okay. jj
"I'm not asking And you know all my questions today, and it's kind of tricky because you're, you know, obviously you're Miss Bonhomme, but you're the designee for Philip Morris.",Yes. j
"And I'll ask bad questions from time to time. But usually when I'm asking about you, I'm going |; to be referring to the company because you're speaking for the company. That was just a bad question, period.",Okay. j
But Mr. Greenwald was the research director for Philip Morris?,"He was a research director. That's my I understanding, yes. i"
Okay. In the 1950s and I think also the 1940s?,It's my understanding in the 1950s. I don't : know about the 19 40s. :
"And this letter that he's writing to Miss Dickey is acknowledging a letter she had sent to, you know, Philip Morris or perhaps to him? Yes. All right. I believe she sent it to Philip Morris. Okay. And so in response to Miss Dickey Well, let me ask you this. Have you seen the letter that she wrote to him? Q- letter I did. \ You do have a copy of that? Not with me, but... ; Okay. And you don't have a copy of that with you today? N o . I All right. Was that letter I know you guys had sent some documents over. I didn't remember seeing",Yes.
Okay. When did you see that?,This week.
"Oh, okay. All right. So it was shown to you in preparation for the deposition?",Yes.
Okay. So what did the letter say that Ms. Dickey,"In essence, to summarize, that she had a suggestion that the that she thought the company should include a statement about underaged smoking and preventing it in their advertising."
Okay.,That was the general theme of the letter.
"Gotcha. And so Mr. Greenwald's writing back in response. And he says to her, you know, we've starting, I guess, with the second sentence, ""We feel that the habits of young people in their teens 0 constitutes sociologic problems and that we should not enter into matters of that sort. Based upon the extensive research which we have conducted over the years, we are convinced that smoking in moderation does 4 not produce any ill effects. It's only indulgence to..."" ""It's only indulgence to excess of cigarettes, or many other things, that may cause harm. If young people are going to smoke, it would be well..."" ""...it would be well to teach them not to overindulge in smoking, nor to overindulge in anythi that they may do."" Did I read that correctly?","Yes, you did."
And that was the position of Philip Morris in response to Miss Dickey's letter that was written the company in 1952?,
"This was a letter written by a senior official at Philip Morris, right?",
"Well, as a research director in 1952, you wouldn't characterize him as a senior official in the company?",
