continuing_examiner,Declarative_Text
"Now, before you testified in the Sherman case, what kind of preparation did you undertake?","I did a lot of reading. I spent a good deal of time learning the history of Reynolds, learning the history of Reynolds' R&D, understanding what the company positions had been over that many decade timeframe. I would meet with the lawyers about once a week for an hour or two to talk about the issues that come up in litigation, discuss that. I had questions about what is it like in the courtroom, what is it like to be deposed, because I wanted to be prepared. So that's the kind of preparation I had."
"Okay. And then how long did this preparation -- obviously, it would take a while to review 50 years of research and history. How long did it take you to review and prepare for the first time? A, Approximately, about a year, I would say. I think I began -- I know when I became vice president of product development in 2008 is when my boss had asked if I would consider being a company representative. I think I spent nine months to a year getting ready.",
"So ;,,,M|liM,lJ,ggWTiyi^Tl,l,l,l,l,l,l,l,|U,i;iJ,^ 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 si Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING I mean, obviously, doing my day job as well. So, I mean, it wasn't a -- get ready for litigation was not my job. That was just -- that's how long it took. You started -- well, when did you become vice president? 2008. Okay. And was part of your -- was being vice president a promotion? At that time, yes, it was. As becoming vice president, did you understand that your duties would include testifying at trial and in depositions? No, that was not part of my duties. Okay. I was asked if I would consider doing that, and I had certainly thought about that as a -- doing that as a representative of Brown & Williamson before the merger, but I hadn't really, you know, done any of that at that point. Excuse me. That's okay. Now, is it all right if I call you doctor? Yeah, please. Doctor, how long after you became vice president did you or were you approached to start testifying? 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING Not long after. I would say a few weeks or -- I don't remember the exact circumstance. I remembei boss asking me if I would consider it and I said sure. Was that within a, would you say a month of being promoted? It may have been, yeah. It was early on. Do you enjoy being a witness for R.J. Reynolds Tobacco Company?",
You were with Auburn for about how many years?,"Well, I finished my daily defense at U Mass in '97, so I went to Auburn in the summer of '97, finished writing, obviously, my dissertation. I missed the date so my degree didn't come until '98, but I was done. So I started at Auburn in the summer of '97, or late spring of '97, and stayed there until April of '99."
"Then what was -- When you were hired at Brown & Williamson Tobacco Company, what was your initial job responsibilities with them?","i was a oencn cnemist, i was associate cnemist. x studied I basically got hired at Brown & JL >J rV JL JL JL JL O-ILL O v-/11 L* LA LA. LA 11 C*. X* ILL J C* LA LI L^ L JL LA X I JL C3 O C C* JL Ly A l l D U LA vA V formation of toxicans in smoke, understand the degradation of tobacco under combustion and pyrolysis conditions. So I got hired in as a chemist, a low level bench chemist, and that's how I started."
Did you do any research on Brown & Williamson before you went to work for them?,"I didn't, actually. I mean, the -- When my professor Z3 at Auburn said ne wasn t sure it tne grant was ~""~ whether he was going to get another grant or not and it was running out, he said you might want to look !|'W?IWSMI-!-W[-l'l^^ 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 ro ro JO k r Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING around for other employment just in case, and I did and I answered an ad for a chemist, so there was really no description, I talked to the recruiter, we had a good conversations and he asked me do I have any issues working for a tobacco company. I was a smoker at the time, didn't really know anything about tobacco, other than the products, and when I discovered and got interviewed - a couple of phone interviews and a few face to face interviews, I kind of understood what the position was about, it interested me. Like I said, I was a smoker at that time, I had a couple of grandparents that died of smoking related diseases, and my understanding of what Brown & Williamson was trying to do and the position that they were hiring for was to try to reduce the risks associated with smoking, so I thought that was an admirable thing to study. I didn't realize at the time just how complicated it really was. But, the position interested me and the work interested me,"
Did you have any reservations at all regarding the nature of Brown & Williamson's business?,
"And you understand that R.J. Reynolds is responsible for the Lorillard brands, the Brown & Williamson brands and the American Tobacco brands, correct?",
Do you know if R.J. Reynolds Tobacco Company is responsible for Salem brand cigarettes?,"That was a former Reynolds brand and my understanding according to the deal is that we will maintain that responsibility in litigation for a period of time moving forward for both Salem, Kool and Winston. That is my current understanding of the terms of the acquisition."
"Thank you. Have you -- Well, in how many areas have you been designated as R.J. Reynolds' individual with the most knowledge on certain topics? mi .if IIIII f mjni IIJII piitj^ i|n; i ii |i i|n f M j i<^; igi ii [!P''>j; |ip[i^' >J'Ujiii!^ !W i1'i^ V ! i ' ^ T!,wl'!l' [! ^^^ to 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 ^ i\o oo Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 FREEDOM COURT REPORTING","* And how much time did you spend preparing for that Duval County case, approximately? i I j| Gees, that was in 2010? I'm sorry I'm mumbling here. I'm trying to remember. I apologize. .I met with counsel on a number of different occasions because had to go through all of those boxes of documents. So I want to say I probably met four or five times before that. I mean, it literally was hundreds of documents that I had to read, I had to go through, it took quite a bit of time. we ;i i is SO \ i And you also mentioned that you are the person within R.J. Reynolds Tobacco Company that has the most knowledge regarding the TI?"
"Okay. Besides the filter, what other changes to cigarette design since the 50s have made cigarettes safer?","Again, from -- and it's -- I certainly testified to this before, but a whole host of changes had occurred to cigarettes and cigarette design technology in an effort to reduce tar. That was the directive both from a public health perspective and public health authorities, making those assertions that the reduction of tar would help reduce risk. So things like more reconstituted tobacco; the use of stems in cigarettes to reduce tar was accomplished; the development, implementation of expanded tobacco to act as dilly way was accomplished and utilized in ro 3RD AVENUE NORTH - BIRMINGHAM, AL 35203 - 205-397-2397 sg Source: https://www.industrydocuments.ucsf.edu/docs/hkhl0223 ^ / "" V I L M JTi/""Yf Tl>T* |r^|^i^j^YJ nPIXI/*1* Pagc35 cigarette design; better filters, more efficient x i i L s i b / 1111cx u i i u i i o i i , xeoucxxion ox cixounixerence of the cigarette; really a host of technologies which I've -- obviously, I've testified to many of these in the past --"
Sure.,-- all helped to try to reduce tar and nicotine delivery to the smoker.
I know that the idea was that these design changes would help. I guess what I want to know is if they did help?,"Again, to a certain degree, they did. Certainly, if you read surgeon generals reports, public health reports from the 60's, 70's, 80's, 90's, the suggestions from public health were if people continued to smoke, they should smoke lower tar cigarettes, all based on the belief that dose and toxicity would make a difference. That somehow changed in 2000 with Monograph 13. But, yet, even with Monograph 13, if you read Monograph 13, they do suggest that there is a reduction in lung cancer rates as a -- largely attributed to cigarette design. Although, as they pointed out, that was a small reduction in lung cancer rates. So, again, --"
