question,answer,Declarative_Text
Altria does not manufacture cigarettes itself; right?,"PM USA is the only manufacturer of cigarettes. Q department? A Q Does PM USA have its own separate R and D No Do you know when that responsibility was, I will say farmed out, I don't mean that pejoratively, but allocated to Altria Client Services?"
And that's when the change occurred?,Yes.
"You understand you are under oath this morning, just like you would be in a trial?","I do, yes."
"And you are authorized, and, in fact, you have been designated by PM USA to speak on the subject matters contained in your disclosure; correct?","I certainly come here and offer my testimony as an expert and fact based on my disclosure, if that's what you mean, yes."
"Right. I mean you are authorized by Philip Morris to appear here, you are here under PM's auspice and at their behalf; correct?",
"But so the record is clear, is it your understanding you are authorized by Philip Morris to discuss the subject matters that are listed in your disclosure in the Danielson case?","I don't know if I would say I was authorized, I was certainly asked to discuss these matters."
Are you on any medications that might affect your memory or your ability to answer questions?,No.
Is there any other reason why your memory or ability to answer questions might be impaired this morning?,"Other than getting old, no."
"All right. I am right there with you. You have given a number of depositions. If I ask a question you don't understand, please let me know and I will try to rephrase it, and if you don't ask for clarification, we will assume that you understood the question. Okay?",Absolutely.
You graduated from college in 198 9?,Yes.
You went to work for the American Tobacco Company out of college in 198 9?,I did.
And can you briefly describe your work history since that time.,Since 1989?
"Yes, sir.","So I was with the American Tobacco Company for about 5 or 6 years. During that time frame, I worked within their research and development facility. My work generally was associated with what we would call reduced ignition propensity cigarettes, development of cigarettes in general, measurements of cigarettes, so a variety of different things during that 5 to 6-year time frame. I started with Philip Morris USA in 1995, again, I have always been in research and development, more specifically at Phillip Morris, product development. I have been in a variety of different groups, and what I have been able to do since 1995 is work in different areas of cigarettes. I started with filters, worked on paper, tobaccos, total design, measurements, testing, so the whole realm of what we consider cigarette product development, and so today, as my title tells, I lead the development of our cigarettes for Philip Morris."
"In your opinion, are the cigarettes, the Marlboro cigarettes specifically that Philip Morris commercially produces today any safer to human health than the cigarettes they produced in 1995, the year Lamar Danielson died?","In my opinion, I don't know how I can answer that question. I don't know how."
All right. Is it your testimony or has it been in the past that you work on safer cigarettes or making cigarettes safer?,"All through my, what is that, 24 years or thereabouts I have been working, those projects that I went through in one way, shape or form were projects that were looking at reducing the risks associated with cigarettes and cigarette smoking."
"Have the risks associated with cigarette smoking been reduced in the 2 4 years that you have been working in the industry, and I am speaking specifically to risks to human health from smoking?","The best way I can answer that in my opinion is if you look at cigarettes, maybe I can't really associate it in that specific 24-year time frame, but, certainly, if you look at the science, if you look at the literature, cigarettes have a reduction in risk with the advent of filters and other design changes, but I certainly can't associate it with that 24-year period."
Have you ever made a public statement -- Strike that. Have you ever made a statement on the issue of smoking and health that was intended to be heard by people outside of Philip Morris or your immediate family?,"No, I don't know of any such statement."
I saw in your CV you presented to standard setting institutes while you were at American Tobacco Company. Can you tell me briefly what that entails?,"Yes. That presentation was to the National Institute of Standards and Technology, and it was about a method to measure in a laboratory the potential for cigarettes, this was associated with cigarette ignition propensity, so it was around the method development."
"I take it, you were born, by your graduation date at least, sometime in the mid '60s thereabouts ?",Correct.
Have you ever heard the message when you were growing up -- Did you grow up in the USA?,No.
Where did you grow up?,I was born in England.
"And where did you spend your formative years, say up to age 12?","In England. And when did you first move to the United Q States? A Q I was 14, 1981. All right. Let me ask you, did you ever hear the message, from the time you arrived in the United States into your college years, that smoking could cause lung cancer?"
Did you ever hear the message that it was not a proven fact that smoking caused lung cancer?,I'd heard messages like that or read information like that.
"Which of those messages, if either, did you believe?","In my belief, my belief, ever since I was a young kid, was that smoking was dangerous, smoking caused disease, it was a message it was told to me by my parents, my grandparents, and that had been my belief, still my belief today."
Had you ever heard of the Tobacco Institute from the time you moved to the US until you began working with the cigarette industry?,"The only -- Let me be clear, the only time I heard of the Tobacco Institute was after I was working for a tobacco company."
"Good. Thank you. If you recall, when is the first time you ever heard of the Tobacco Institute?","I don't know. I don't '89 to '95, I knew it before I started with Philip Morris, I had heard about it."
Had you ever done work that you knew to be work performed on behalf of or in affiliation with the Tobacco Institute?,No.
"Did you ever meet anyone whom you knew to be, at the time you met them, an officer or an agent for the Tobacco Institute?",No.
What about for the CTR?,No.
"I looked at a number of cases you have testified in. I was wondering if -- and you know, I don't want to cast the net too wide, but if the basis for your expertise for the opinions that you give is materially different today than it was two or three years ago, are you still basing your opinions on the same well, if you will, of expertise?",Let me see if I can best answer that.
Sure.,"I mean my opinions, my testimony is based on, obviously, my training, my knowledge, experience. You said you have read some of my other depositions, et cetera. And so science does move and new publications come to bear, but it is still that same -- I think you said the same well of information, so my material, excuse me, my opinions haven't changed in that time frame."
Okay. Your former testimony has included testimony on Philip Morris's current and historical positions on smoking and health; correct?,Yes.
Including disease causation in humans?,Yes.
"PM's position on that, to be clear.",Yes.
PM's position on addiction?,Yes.
Both historically and currently; correct?,Yes.
"Also, on the issue of publicly communicating the harms caused by smoking, you have testified on that at trial; correct?","I have touched on that. I would say that is not an area that I -- I am not in communications, but I have certainly talked about some of those aspects."
"Were you aware, during your time as a scientist at American Tobacco, from '89 to '95, I guess, that American Tobacco claimed no one had proven that smoking caused lung cancer in humans?","I don't recall exactly what American Tobacco's position was during that time frame. I certainly know that it is the different -- well, American Tobacco doesn't exist today, obviously, but I certainly know that it wasn't a matter of they accepted the definition associated with how we say that smoking causes disease. Exactly what their position was, I couldn't tell you."
"Were you aware that during your time as a scientist at American Tobacco from '89 to '95, that American Tobacco claimed nicotine was not addictive?","Yes, that would be consistent with my recollection."
