question,answer,Declarative_Text
"Good afternoon, Miss Bonhomme.",Good afternoon. | (Plaintiff's Exhibit No. PT1163 for i.d.) f
"Back on the record. Let me show you a document marked PT1163. We're not going to spend much time with this at all, but I just wanted to look at one point.",Okay. Thank you. I
"And so you're, you know free to, obviously, look at this and review whatever you want, but the only thing I'm going to ask you is sort of follow-up from some questioning we had earlier this morning. 22 A. Okay.",
"But if you look at the top of this document, which I think the date of this is August 15th, 1985.",Yes. j
The subject is trends in smoking...,
The subject is trends in smoking among high school seniors.,Yes.
"And the first paragraph there, it says, ""Historically, about half of all people in all age cohorts who ever smoked have been smokers at age 18."" Do you see that?",I do.
And that's what I was sort of alluding to. This is one source of that information that I was alluding to earlier about the fact that the majority of people who become regular smokers started smoking before the age of 18.,"And I think that's why I answered you the way I did. I was saying there are so many data sources that study the problem of youth smoking and youth smoking rates that I couldn't make a global statement as to smoking rates among young people because depends upon what year, how you measure it and what study. So but if you're asking me is there a study that concludes that, yes, there would be. But you can see this is 1985. I don't know what year you're asking me for and it's there's all sorts of ways to measure it. So but if you're asking me I guess that's what I was trying to explain to you if that makes sense."
"Sure. I understand. I'm sure there are other I'm sure there are data sources or reports where, you know, a slim minority all start smoking by the age of 18 and just like there are other data sources that maybe say like 90 percent of regular smokers began smoking by the age of 18. But what I was trying to get at or what I'm trying to understand is just, you know, in a very general sense the consensus of all of the sources out 0 there that have looked at this issue of when do people begin smoking who become regular smokers, would you agree with me that general, the general consensus is that most people, the majority of people who become 4 regular smokers started smoking before the age of 18?",
Um-hum.,So I will agree with you that too many young people experiment with cigarettes before 18 and they shouldn't.
"Okay. But you're unable to agree, you being \ Philip Morris, Philip Morris is unable to agree that the general consensus across all data sources of organizations or individuals who've looked at this issue of youth smoking conclude that most, majority of regular smokers began smoking before the age of 18?",
Okay. You cannot agree with that statement?,I can not agree with it because it depends j; upon how you classify someone who began smoking. ;
Right. Okay. It I appreciate it.,Yeah. i (Plaintiff's Exhibit No. PT1141 for i.d.) \
Let's look at PT1141.,Another document? j;
"Yes, it is another document.",Okay.
I just I don't want to spend a lot of time on that document. I just want to look at that. In light of our earlier discussion I wanted to look at that piece.,
"What you have there, Miss Bonhomme, is PT1141. It's a June 2nd, 1976 letter from Al Udow to J.J. Morgan. Yes. \ Philip Morris USA inter-office correspondence. As we discussed earlier, J.J. Morgan was head of Marlboro, head of the Marlboro brand? 1976. the Ma VP of he was would Yes, and became the head of marketing around j; Okay. He would have been in a senior capacity over ji rlboro brand. Ij Before then? Or sorry. In when he became marketing? No, I'm saying in 1996 (sic) I don't know if VP or director or what his level was, but he ; have had a, you know, senior capacity over the l Marlboro brand. me see Now let me see. I think you said '96. Let if I can clarify that. Oh, I'm sorry. ; Somewhere around ' 76 . | he became VP of marketing? He became VP of marketing i Okay. in at some point in time. I don't know exactly what year. :",
Gotcha.,"But even if he wasn't vice-president of ji marketing, he was someone who had decision-making ij authority over the Marlboro brand. j:"
Okay. I appreciate it.,Okay.
Thank you. And eventually I think we said he eventually rises to become president of the company?,"Yes, he did. \"
"Okay. The subject of this memo, though, is called Why People Start to Smoke.",Yes. \
"And so this is again, from Al Udow, reading the first paragraph there he says, ""At the end of last week I gave you some material intended to answer Cliff Goldsmith's question on why people start to smoke."" Who is Cliff Goldsmith, do you know?","He was a senior executive of the company l also, and he would have been senior to Jimmy Morgan at \ this time."
Okay. At this time he would have been over or head of Mr. Morgan on the organizational chart?,Yes.
"Gotcha. It says, ""Because we should have this information at our disposal, this document summarizes the data available and cites references."" Did I read that correctly?",Yes. I
"It says, ""There are surprisingly few hard facts on the question of the initiation of smoking. Most of those who write on the subject of smoking tend to rely on the statistical work of Daniel Horn and the National Clearing House For Smoking and Health. Others offer opinions without sources or data to back them up."" Did I read that correctly?",Yes. I
"And then in this memo, which we will not go through in every aspect, but Al Udow goes through and he identifies some of the sources that address this issue of why people begin to smoke?",Yes. I
"I think the first one there is a study by 0 Joseph, is it Matarazzo?","Yeah, I believe so. I"
That was an entry in the International Encyclopedia of Social Sciences 1968? 4 A. Yeah. f,
"And then I think there's also let's see what's the next one. There's some stuff from the National was that American Clearing House For Smoking and Health, which organization ran by Daniel Horn? Yes, there's some information. j: And then Harold Diehl, D-i-e-h-1, from the Cancer Society? Yes. \ Encyclopedia Americana, you know, just from the Encyclopedia. Yes, I do. ; Do you see that in there as well? Um-hum. All right. And then there is an organization called the Yankelovich? American Yankelovich. Yankelovich? Yes. Thank you. And they did a study for the Cancer Society doing in-depth interviews with teenagers and young women? Yes. I And their survey or study was basically focused on the teen girls is kind of one of the main focuses of their study?",Yes. \
"So essentially if you look through there and you look at these different reasons, you kind of see some similarities; is that fair?","There's some yes, there's some threads of knowledge, yep."
One of the main things is that they identify that's consistent among why people start smoking is parental smoking?,"Yes, that's a factor."
Right. Having parent or both parents who smoke is definitely a factor in whether someone is going to become a smoker?,"Yes, it's a risk, it's a risk factor."
That's fair. That's a good way to put it. It's a risk factor for that person becoming a smoker?,Yes.
"And depending upon the study, it can either make it, you know, a couple times more likely, two or three more times more likely or even, you know, far 0 more likely than that?","Depending upon the study, yes."
"Okay. In addition to a parent who smokes, having siblings who smoke, like a older sibling is also 4 a risk factor for becoming a smoker?","That's what's learned in this document, yes. you know, And some of the other reasons they give are, peer pressure, obviously, conformity to what's going on with their peers? Yes. Curiosity about smoking habit? Absolutely. Striving for adult status or to be grownup? Yes. And most of this memo is Al Udow sort of quoting block quotes from these other sources? a special continuat Yes, it is. At the end, though, he talks about there study that was done for Philip Morris on ion of smoking. Do you see that? Yes. What page? Page seven if you look at the bottom right-hand corner. Okay. was the The last page, I think, is just bibliography references. Okay. So this is the second to last page. It says, ""Information on the motivation. Do you see that?"
"""Information on the motivation that leads to a continuation of smoking comes from a special study done for Philip Morris (Brand, 1971) ."" Do you see that?",Yes. j
"Who was that Brand? What is that referring to, do you know? Is that like I've seen Roper. Was Brand like an outside market research organization?","Not that I know of no, no. \"
Okay.,But no. I don't believe so. It's not an \ outside organization. I know that.
It's not something you recognize?,I don't know what he's referring to. Okay.
"Okay. And he goes through the, you know, ""Smokers first answered the question of, 'Why do you smoke' with platitudes such as: Gives me something to do with my hands, relieves tension, goes well with a social drink, settles my stomach after a heavy meal, helps me to relax, just an automatic habit, keeps my weight down. But on deeper probing, the circumstances in which smoking occurs may be generalized as follows:"" Number 1, ""As a narcotic, tranquilizer or sedative, smokers regularly use cigarettes at times of stress. Number 2, ""At the beginning or ending of a basic activity. This would cover such activities as entering or leaving a room, starting or finishing a job; going into a party or leaving one, starting a telephone conversation or a personal visit."" Do you see that?",Yes.
"And then Number 3, ""Automatic smoking behavior, heavy smokers particularly light up at intervals without much thought and often without realizing what they are doing. ""It should be noted that there was scarcely any unprompted reference to smoking for taste or flavor until it was suggested. And then everyone agreed that it was the major element to smoking satisfaction."" Do you see that?",Yes.
"Okay. So does the conclusions that Al Udow has about why people smoke that he sort of 0 gleans from these other various sources, is that consistent with what you've seen with regard to Philip Morris's understanding of why people begin to smoke?",
And I appreciate that. And I'm sorry. I'm not trying to cut you off.,Okay.
Were you finished?,Yeah.
"And I get that. More what I was looking at, you know, was as people, children, for example, are predisposed to become smokers if their parents smoke, if their older siblings smoked, would you agree with me that as smoking became more widespread and more parents smoked and more older siblings smoked, that would increase the chances of new smokers, teenagers, children becoming smokers themselves?","Yes. It would advance their the risk of, if a greater percentage of parents smoke, it would advance, increase the risk of their children smoking. (Plaintiff's Exhibit No. PT1074 for i.d.) 0 BY MR. BIGGER:"
"Right. Let me hand you PT1074, 1074. Oh, 2 you've got it.",Got it.
"So I've handed you PT1074, May 21st, 1975?","Yes. let you confirm Philip Morris. I'm sorry. I should have answer that. Go ahead. Oh, I thought you wanted me to say ""yes"" to I did. Sorry. May 21st, 1975 letter. Yes. From Philip Morris excuse me. On Philip Morris inter-office correspondence? Yes. And this is from Myron Johnston to R.B. Seligman? Q- on this Correct. Dr. Seligman was the head of R&D? At one point in time. I don't know exactly date, but, yes. Okay. If I said he was the head of Research and Development 1975, would you correct me, or would you say decline okay? I'd say I believe he was. Okay. Thank you. The subject is, ""The in the rate of growth of Marlboro Red."" You see that subject? Yes."
"Okay. Let's look at this document just for a few minutes. ""I think Dr. Dunn's memo has very effectively dispelled the notion that nicotine reductions have been the cause of the slackening in the rate of growth of Marlboro Red."" Do you see that?",Yes.
We obviously don't have Dr. Dunn's memo. Have you seen Dr. Dunn's memo as referred to in here?,No.
Okay. You didn't see that in preparation for today?,No.
Gotcha. But obviously Dr. Dunn dispelled the notion that nicotine reductions caused the slackening in the rate of growth of Marlboro Red. That's what it says in here?,"That's what it says, yes."
"Gotcha. And so looking down further, Myron Johnston has his contention, which you see right after that, 75, 80 economic forecast?",Yes.
"He says, ""It was my contention that Marlboro's phenomenal growth rate in the past has been attributable in large part to our high market penetration among younger smokers and the rapid growth in that population segment. I pointed out that the number of 15 to 19-year-olds is now increasing more slowly and will peak in 1976 and then begin to decline. I also hypothesized that Marlboro would be particularly vulnerable to the recession.""",Yes.
Do you see that?,Yes.
The recession he's referring to is there was a pretty serious national recession that took place in the early 1970s?,"Yes, there was."
"Then he says, ""In my opinion, the decline in Marlboro's growth rate is due to four factors: Number 1 is ""Slower growth in the number of to 19-year-olds."" Do you see that?",Yes.
"Number 2 is ""The recession.""",Yes.
"Number 3 is ""Price increases in 1974.""",Yes.
"And Number 4 is ""Changing brand preferences of younger smokers."" Do you see that? 3 A. Yes.",
"So obviously, you know, qualified within my opinion, Myron Johnston, but two of the four items he identifies deal with younger smokers and in his study 15 to 19-year-olds?",
Do you see that?,"Yes. But you're mischaracterizing it. I | know Myron didn't have a study. Myron was a | demographer, and he used external information, I information that he was able to acquire from either | government agencies or universities to analyze the I marketplace. I"
Right.,So he didn't have a study really. |
"Forgive me. And if I suggested that he did, 0 I apologize. But, yeah, I mean, he obtained data from | other sources and analyzed that data to make these 2 conclusions; is that fair?","To come up with his opinion, yes. He did. | 4 He obtained I 5 Q. His conclusion information from outside the company, you : know, external sources \ up with subject worked, sources Welfare, studies analyze Right. and looked at that information and came j: an analysis and his point of view on that j; And I would say that summarizes the way it ; the way his work was. Well, I mean, for example, one of the was the Department of Health, Education and right? Yes. I They would have done some surveys and some as part of their public health efforts to smoking rates, smoking prevalence amongst different ages and things of that nature. Yes. Okay. And that data was, from the Federal Government was publicly available, right? analyze Yes. And so Mr. Johnston would take that data and ; it in reaching his conclusions that he reports to Dr. Seligman? opinion That's a fair characterization, yes. Okay. And in his opinion and in Myron's based upon the analysis that he did of that publicly available data, the slower growth and the number of total 15 to 19-year-olds, in other words, the, you know, slower growth rate of that size of the population, that segment of the population, is that what he's saying?"
"And the changing brand preferences of younger smokers, so what brands those smokers smoked?","Yes, that's what he's saying."
"Okay. Well, if you look down under demographics there, he says, ""It has been well established by the National Tracking Study and other studies that Marlboro has for many years had its highest market penetration among younger smokers. Most 15 of these studies have been restricted to people aged or and over. But my own data, which includes younger teenagers shows even higher Marlboro market penetration among 15 to 17-year-olds."" Did I read that correctly?",Yes.
"""The teenage years are also important because those are the years during which most smokers begin to smoke. The years in which initial brand 4 selections are made and the period in the life cycle in which conformity to peer group norms is greatest."" Did I read that correctly?",Yes.
"All right. Let's looking at each of those sort of three things independently, so ""The teenage years are the years during which most smokers begin to smoke,"" do you agree with that conclusion that the teenage years are the years during which most smokers begin to smoke?","Well, that's the same question that you had talked about earlier --"
It is.,"that I I'm not arguing that Myron had data to support that statement in this document. But I wouldn't make that as a broad conclusion about the cigarette marketplace, because you would need to understand -- it's quite complex, much more complex than this one sentence makes it out to be. An example I will give you, many young people might try their first cigarettes at a very cigarette at a very young age and may never smoke again for four, five years. So some try a cigarette and quit. Some try cigarettes and go on to become smokers. So it's really a very complicated issue. So right now I can't say on behalf of the company. I would have to have data. And I would it would have to be expressed based on the type of survey and the question. But I'm not going to argue that my I'm not going to sit here and tell you that I believe Myron wasn't accurate in this statement in this report."
You would agree that he had data that he had reviewed at that time to reach that conclusion?,I would believe he would have data that he would have relied on to reach that conclusion.
Okay.,"But whether that the way the question was asked accurately reflects the truth of the marketplace, I don't know."
And it's the same as what you've said earlier,Yeah.
"that it's just different data sources reported differently, and it's a much more complicated question.","Yeah. 0 Q. Okay. Well, he also says that those are the years, the teenage years are the years in which initial brand selections are made. Is that true?"
"Are you testifying today on behalf of Philip 4 Morris that people in 1975 who are under the age of were unable to acquire cigarettes other than by taking them from their parents, stealing them from a store or bumming them off their friends?",
Okay. Because and I will ask for clarification because that's what it sounded like you 13 were saying. But certainly 15 to 17-year-olds in had many ways that they could acquire cigarettes by purchasing them.,Yes.
"And so that is also the period and lifestyle in which conformity to peer group norms is the greatest, 15 to 17-year-old. Do you agree with that 0 that age 15 to 17-year-old is when there's the strongest need to conform to what your peers are doing, your peer group?","It's a time in life when peer group influence is very very important. But whether it's stronger at 15 to 17 versus 10 to 14, I don't know."
Right.,The company wouldn't know. ji
Okay.,But I . . . yeah. |:
"Okay. You agree that a commitment, that age, 15 to 17 is the time when those peer group influences are very strong?",Yes. :
"And then later on here, you know, obviously Mr. Johnston goes through and he makes some correlations between Marlboro sales and 15 to 19-year-olds in various different analyses.",Yes. j
Do you see that? And showing correlation between Marlboro's performance and that changing segment of the population?,Yes. \
"If you look back at page five, you'll see ; let me just finish this document, if we can. So there's the changing brand preferences of ; young smokers?",Yeah.
And that was sort of reason number four that he identified for the decline in the rate of growth in Marlboro Red?,Yes.
"He says, ""A much more serious factor is the apparent decline in Marlboro's popularity among the young, as reported in the college student smoker survey."" Do you see that?",Yes.
"Okay. It says, ""Since this survey did not also sample the 70 percent of 18 to 22-year-olds who are not enrolled in college, we don't know if the results of the survey are projectable to the total population aged 18 to 22.""",Yes.
Do you see that?,"Yes. 0 Q. So here's he's looking at 18 to 22-year-olds, right?"
"If you look down at the bottom that last 4 paragraph of that section starting with, 5 ""Nonetheless...""",Yes.
"""Nonetheless, there is cause for concern partly because college students do not "" ""...do..."" excuse me ""...constitute a significant share of the Marlboro market and partly because college students' behavioral and attitudinal patterns tend to carry over to noncollege youth with a one to three-year lag as noted in various Yankelovich studies."" Did I pronounce that right?",Yep.
"""Thus, the decline in the popularity of Marlboro Red among younger smokers will probably continue and thus further reduce its rate of growth."" Do you see that?",Yes.
"So some of what Myron Johnston is recognizing there is that the behavioral and attitudinal patterns of these college students, it affects the next segment down the chain, if you will, 0 the younger students?","I I don't think that's what he's saying. I think what he's saying is that the college students who are 18 to 22, what they do influences the kids, the young adults that age who are not college students."
"You interpret that Since do not projec Because he's talking about the 70 percent. ji the survey did not also sample the 70 percent of ji 22-year-olds who are not enrolled in college, we ji know if the results of the survey are ji table to the total population age 18 to 24. ji Right. So I think what he's saying is I'm missing ji percent of the 18 to 24-year-olds in youth. And but ji I have information about the 3 0 percent that are the ji college students, and I think what they do influences i the other 70 percent. ji there, aren't So when he refers to noncollege youth down you're connecting that to the 18 to 22 that in college? In this couple paragraphs I am. ji In this section. Yes. j: Okay. Okay. I appreciate the clarification.",
"Okay. Miss Bonhomme, back on the record. Let me hand your counsel what is marked It doesn't appear to be marked, but it's PT5495. I don't know why that one didn't get marked. I'll mark that PT5495 on there. All right. So this is PT5495. It *s a June 5th, 1980 letter on Philip Morris inter-office correspondence from Myron Johnston, again, to a Mr. Jon Zoler. You see that?",Yes. I
The subject of this letter is teenage 0 smoking patterns and average daily cigarette consumption. Do you see that? 22 A. Yes.,
"Okay. And the only thing I really want to 4 call your attention to in this letter, which sort of for me contextual is that second paragraph where it starts with, ""Your request...""",All right. I'm with you.
"It says, ""Your request..."" which is presumably Mr. Zoler's request, correct?",Yes.
"""Your request plus the recent arrival of some information on teenage and college smoking incidence has prompted me to set to work on something I have wanted to do for sometime; study the demographic and socioeconomic variables related to teenage smoking and how those variables can be expected to influence the future incidence of smoking among teenagers and college age youth."" Do you see that?",Yes.
"Okay. And CC'd on this letter if you just turn to the second page there's a couple other individuals. So you have Dr. Seligman, who we mentioned before, and that that other letter from, I 0 think, '75 was written to?",Yes.
He's the director of research and development. And then you have Mr. Richard Thompson. 4 Do you know who that is?,"No. know who And then you have Mr. Harry Daniel. Do you Mr. Daniel was? Yes. |; Who is Mr. Daniel? I don't know all the positions he's had over ji his career, but he I'm familiar with Harry having ; been involved in the product testing area of product developme the more Q- Dr. Levy, mt in Richmond, Virginia. Okay. And do you know do you know what senior level positions that he held were. At the director level is the only thing. \ Director level? That's all I recall. j Okay. Then Dr. Carolyn Levy. You recognize I'm sure. Yes. She was your predecessor in the Youth Smoking Prevention Program? position Yes. She was she was she was my boss. Okay. And she was I never took over her i in youth smoking prevention. I reported to I her for many years in different assignments."
