question,answer,Declarative_Text
"Dr. Sarkar, as you know, my name is Ron Cabaniss. We're convening for the resumption of your deposition at this time. And as I have no further questions of you, thank you for your time previously. And I will pass the witness.",Okay.
"Good morning, Dr. Sarkar. Could you please state your current position.",Yes. I am a senior principal scientist at Altria Client Services.
"In that position, do you provide services to Philip Morris USA?","Yes, I do."
How long have you held your current in posit A Q mentioned the Adminis Philip Philip Philip,"So when the President signed into law the FSPTCA, it gave FDA broad regulatory authority over the company Philip Morris USA and products it makes. But it generally can be categorized into they have regulatory authority over the design of our cigarettes, manufacturing of our cigarettes, marketing of our cigarettes, as well as sales."
Can you describe what the FDA has done in its regulation of the design of Philip Morris USA's cigarettes?,"Amongst other things, and specifically around the design of the cigarettes, there are several regulating authorities. And I generally for example, with the cigarette design, we would have to report to FDA the ingredients that we put in our cigarettes. We also have to report the levels of the constituents, harmful and potentially harmful constituents that are emitted from our cigarettes. In the design space, FDA also has broad authority over establishing product standards so they can, for example, regulate levels of tar and nicotine, if they deem it appropriate for the protection of public health. Also important to the cigarette design, FDA has required manufacturers to inform them if there are any changes that we make to our product. And depending on the levels of changes, the FDA has carved out three kind of pathways that they would review the scientific evidence. So if we change the products a little bit, it will probably go through a substantial equivalence to demonstrate we have a substantial equivalence. If not, we have to submit the scientific evidence around a new product application. And there is a substantial level of evidence that we would have to provide to demonstrate that it's appropriate for the protection of public health. And the third pathway, which is to demonstrate if we have a product that is lower risk, that's called a modified risk tobacco product application. And, once again, we have to submit evidence to FDA to get authorization to put these products on the market. So, bottom line, we now have to inform FDA and get permission and authorization from FDA if we make any changes in the cigarette design."
You also mentioned manufacturing as an area that the FDA regulates. What has the FDA done in regulating Philip Morris USA's manufacturing of its cigarettes?,"With manufacturing, one of the first things that we have to do is register the manufacturing facilities with FDA on an annual basis. And FDA can come and inspect these facilities on a regular basis every two years. As a matter of fact, they have come and inspected our manufacturing facilities. Also with the manufacturing, FDA is going to establish what's called good manufacturing practices, or GMPs, to establish kind of a common set of standards for not only us, but for others in the industry."
You mentioned that the FDA regulates marketing of cigarettes. What has the FDA done to regulate Philip Morris USA's marketing of its cigarettes?,"Specifically around marketing, FDA has jurisdiction and enforces regulating authority, starting by banning the use of descriptors, like ""lights"" and ""mild."" And, you know, for marketing, it also has authority over our marketing research. They can ask us to produce our consumer research. Along with that, they also can ask us to produce documents related to the health effects, any studies that we have done on the products. Furthermore, with the marketing in the marketing space, they have the authority to also look at the graphic warnings and the warnings on our products. And they have, you know, imposed a new set of warnings for cigarettes."
"You mentioned that the law banned the use of descriptors. When you talk about descriptors, what are you referring to?","What I was specifically referring to is that FDA, as soon as the law was signed and had the imposed its enforcement, it gave the manufacturer two years to stop making cigarettes with any descriptors, like ""lights"" or ""ultra light"" or ""mild,"" or any descriptors that distinguish the taste profile of the cigarettes."
"Today does Philip Morris USA manufacture and sell any cigarettes with the ""Lights"" name on them?","No, we do not manufacture since I believe 2010, we do not manufacture any packs with the descriptors on them."
So are there any cigarettes that Philip Morris USA manufactures and markets today that are called Marlboro Lights?,No.
What has the FDA done to regulate how Philip Morris USA cigarettes are sold?,"With that, too, FDA has a broad enforcement authority. And amongst other things, they restrict the sale to minors. It's illegal to sell to minors. They have imposed regulations around, you know, the sale should be behind the counter and face-to-face interactions and, also, you know, banned the use of the brand names for any sponsored events, et cetera."
"In addition to the areas of regulation that you've already described, can the FDA also require Philip Morris USA to provide information about its business to the FDA?","Yes. As I mentioned earlier, they can ask manufacturers not only to provide the specific information about the ingredients and constituents, but also require to disclose documents on health related issues around products as well as m a r k e t i n g ."
Does the FDA have authority to conduct inspections of Philip Morris USA's facilities?,"Yes, indeed. As we were talking about a minute ago, that FDA has already conducted inspections of our manufacturing facilities."
Can you describe a typical inspection at a Philip Morris USA facility?,"Yes. It's actually an interesting scenario, because they just show up at our doorstep unannounced. And usually it's a team of inspectors that are deployed and, you know, they just knock on our door. And we have to open up the manufacturing facility and provide to them any supporting documents that they deem necessary for them to conduct the inspections. And these inspections are very thorough. And they go through and walk through our manufacturing facilities, they review our standard operating procedures, and in some instances, they can stay on site as long as they've gotten all the questions answered. So in this instance, they stayed at the Philip Morris USA manufacturing facility for almost a week."
Did Congress give the FDA authority to enforce the Family Smoking Prevention and Tobacco Control Act if one of the tobacco companies isn't complying with the law?,"Yes, indeed. So, you know, FDA has broad ranging enforcement authority and, you know, we have to comply with that. Otherwise, there are consequences."
What consequences or enforcement tools does the FDA have available to it?,"Amongst other things, as we've talked about, if they are doing an inspection, let's say if they find anything amiss, they can shut down the factory. And at the other end, if there are any issues with the products, they can ask manufacturers to recall the products. They can even ask manufacturers to provide samples of the products. And in some instances, there are stiff penalties. And remember I was mentioning to you about the sales piece. At the sales point of sales, if the stores are found to be selling products to minors without evidence or proof of age, there are stiff penalties associated with the store owners as well. So they have very broad ranging enforcement authorities and they exercise that on a regular basis."
"Dr. Sarkar, where does the money come from to fund the FDA regulation of the tobacco industry?","So when the bill was enacted, one of the first things that the FDA did was set up the Center for Tobacco Products. The Center for Tobacco Products then assessed what's called user fees. And these user fees are based on market sales and proportion sales for each manufacturer. So the Center for Tobacco Products was built upon or based on the user fees."
"Just so we're clear, are user fees paid by the manufacturers, including Philip Morris USA?",Yes. Yes. Right now FDA has got close to 500 employees and all the infrastructure that's been created around the Center for Tobacco Products is supported through the user fees that Philip Morris USA and other manufacturers pay.
Are tax dollars paid by tax payers used to fund the FDA regulation of the tobacco i n d u s t r y ?,No. The Center for Tobacco Products is funded by the user fees.
One final area with respect to the FDA. Did Philip Morris USA support Congress's efforts to give the FDA authority to regulate the tobacco industry?,"Yes. You know, we have been in support of FDA regulation for almost a decade, even before the bill was signed into law in 2009."
Can you please describe Philip Morris USA's support for FDA regulation in general terms?,"Generally speaking, we were very interested in developing reduced-harm products and we wanted to be able to have a regulatory framework to assess those reduced-harm products. As a matter of fact, that was one of the main reasons that we were, you know, encouraging FDA regulation. And even as early as the bill was being signed, our CEO, Mr. Szymanczyk sent a letter to the President in support of this regulation. You know, in addition to this framework for assessing these lower-risk products, we also wanted to have a common set of high standards for manufacturing and furthermore also allow FDA to develop for, you know, clear communication to the consumers about the health effects of our products."
"Dr. Sarkar, does the FDA regulate what goes into the Philip Morris USA cigarettes?","Yes. As I mentioned to you in the design space, we have to inform FDA about all ingredients, everything we add to our products, yes."
Does the FDA regulate what comes out of Philip Morris USA cigarettes?,"Yes, that's correct. You know, once again, they have actually gone through an elaborate process of establishing a list of harmful and potentially harmful constituents. And manufacturers like Philip Morris USA would have to report the levels of the different constituents and the different testing conditions. 2 BY MR. SNAPP:"
Does the FDA regulate what Philip Morris USA can say in its marketing materials and on its packs about its cigarettes?,"Y e s . Y e s , i n d e e d . As we mentioned earlier, they've already banned the use of the word descriptors. But in addition, they monitor the Web sites, they have a say in the health warnings, et cetera. So, yes, they do."
"Dr. Sarkar, I want to turn to a different topic. Earlier in the deposition, you testified that at PM USA or Philip Morris USA, in the R&D department, there were some scientists who had opinions about the addiction potential of nicotine. Do you remember that testimony?",
"Dr. Sarkar, earlier in the 19 deposition I'm referring to the page 89, lines through 20 of your prior deposition.",
"Earlier in the deposition, Dr. Sarkar I'm referring specifically to page 89, lines 5 through 20 of the transcript you testified that at PM USA in the R&D department, there were some scientists who had opinions about the addiction potential of nicotine. Do you remember that testimony?","Yes, I do."
"You also testified and I'm referring to the question that begins at page 89, line 23, and the answer that concludes on page 90, line 9, that it's hard to personify Philip Morris, but there were scientists within R&D there were some scientists who had an opinion that smoking was addictive. Do you remember that testimony?",That's correct.
"And Mr. Cabaniss asked you -- and I'm referring to page 90, line 10 through 13 who those scientists were. And you told him you would have to look through documents to answer his question. Is that correct?",That's correct.
Was there a particular document you were referring to that you would need to look at?,"So when I answered that question, I was thinking specifically about the document written by Dr. Dunn, called ""Motives and Incentives in Smoking."""
"And have you gone back and reviewed that document, Dr. Sarkar?","Yes, I did. And I must admit that I read through that document and realized that I was actually mistaken and I had misquoted. There was no debate about or opinion about the addiction potential of cigarettes. It was actually just a summary of a conference that Dr. Dunn had attended, a scientific conference on the reasons why people smoke."
Based on your review of that,
"Dr. Sarkar, you mentioned that the document you reviewed summarized or described a conference that Mr. Dunn attended. Are you able to tell who attended that conference?","Yes, it seemed to be a scientific conference, including a number of opinion leaders in the space and they were from various disciplines, pharmacologists, psychologists, et cetera, pondering the question of why do people smoke."
Was there a book published as a result of that conference?,"Yes. Not only that, but subsequently there was a newspaper interview and an article on it. And then thereafter Dr. Dunn published a book that's still available on Amazon dot-com. You can buy it right now."
"Having looked at or, well, strike that. During the work that you've done in preparing to give your opinions as an expert witness in this case and to prepare to testify today, have you seen any documents in which scientists at Philip Morris USA stated that they believed smoking was addictive prior to 1994?","No, I have not. And even with reference to this particular document that I had in mind, I thought I had interpreted it that way, but in fact there was no mention of the word ""addiction"" in that document at all."
"Dr. Sarkar, you were asked some questions earlier in the deposition about when Marlboro Reds were introduced and when Marlboro Lights were introduced. Do you remember those questions?","Yes, I do."
