question,answer,Declarative_Text
All right. But you do have considerable knowledge regarding the marketing practices of R.J. Reynolds Tobacco Company over the course of several decades,,
based on the work that you've done at R Reynolds?,"Not really. I'm not I'm not in the marketing department. I'm aware of marketing. Obviously, we work with them but I wouldn't say I ha1 consio.eraoie Knowieoge or marKetiing, no. Jage 6 \ .J. | ve",
Okay. You've -- have you reviewed documents that -- internal company business records that pertain j to marketing?,"From time to time I have, yes.",
"And have you reviewed in deposition, ha1 you testified about the things that the R.J. Reynold Tobacco Company has done in the public as it relates their marketing efforts?","I don't know that I have, I've been shown lot of documents in relation to litigation, some marjceLing documents ior certain, OUL I am non. a marketing expert and I wouldn't profess to be that. ve | s \ a ; United Reporting, Inc. Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221",
You're here in your capacity for the R.J. Reynolds Tobacco Company which includes the Brown & Williamson Tobacco Company and the American Tobacco Company?,"l t does, yes. questions that we have today, you will be answering in your capacity as a corporate representative for the R.J. Reynolds Tobacco Company but also speaking on behalf of those companies as well as they are now a part of R.J.",
"Okay. But when I refer to R.J. Reynolds Tobacco Company or R.J. Reynolds or RJR, you know that it's understood that I will be speaking about those three entities unless you tell me specifically otherwise?","I will try to keep that in mind, yes.",
Okay What is your position at R.J. Reynolds?,I am the vice president of cigarette product development.,
"How long have you been in that position? jMMMMMWMMMMMMWWWW^^ -si o United Reporting. Inc. O o Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 Q A I don f t regard around Q A Q A Q A k Page 8 i How long has that position been in existence? I don't know, probably decades I would think. now -- you know, I'm not a historian with corporate structure, but I would say it's been j for a number of decades. graduated Q old when A Q A Q school? A Q A Q Brown & w And when were you originally hired? I was hired at Brown & Williamson in 1999. What year were you born? 1964. What year did you attend college? \ I started college in 1984 -- '84, ""85. I in '89. \ So you would have been approximately 20 years \ you started college? i About 21, yeah. What year did you graduate? In '89. I'm sorry, what year did you graduate high \ Oh, 1982. j And would you have been approximately 18? Yes. I turned 18 that summer. Okay. How old were you when you started with \ illiamson?","Well, '99, so I think I was 35ish. United Reporting, Inc. Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 c",
So when you started with R.J. Reynolds in 2004 \ you would have been approximately 40 years old? \,"Uh-huh, yes.",
And what was your position when you were originally hired at Brown & Williamson?,"I was a scientist, so I was hired in as a -- I \ can't remember if it was a scientist three or four, whatever their designation was. I may even have been an \ associate scientist for that first six months.",
"And Brown & Williamson Tobacco Company was a company that produced cigarettes, correct?","They did, yes.",
"And the American Tobacco Company was also a \ company that produced cigarettes, correct?","They were, yes. j",
"And Brown & Williamson and American Tobacco | r o m n a n u a n H T3 ,T R o u n n l H Q h a v o K p p n H P Q i rrn ""inn v_rVJUipdiiy ctxiLi JA . u lAtJy xiu J-u. o HCLVC; uccii u c o i y ii j-iiy , manufacturing and selling cigarettes since before the 1940s, correct?","That would be correct, yes.",
And when did R.J. Reynolds take over Brown & [ Williamson Tobacco corporation?,"R.J. Reynolds and Brown & Williamson actually merged in 2004. United Reporting, Inc. Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221",
Okay. When did the Brown & Williamson Tobacco f Company and the R.J. Reynolds Tobacco Company merge?,In 2004. \ 4 Q And did R.J. Reynolds take over the operations of the Brown & Williamson Tobacco Company?,
And did R.J. Reynolds continue to manufacture f and sell the cigarette brands that the Brown & f Williamson Corporation was selling at the time of the f merger?,"They did, yes. There was a transition period | *7 a a T h h i n V T t"" a 1 If D H a V ^ o i i t * trh D T D f h O Q D h r * a n H cs U O K A t~ V""I e* n ; I d.5> -L Lll-LIllS. J. L d-L IS. t; U aJJUUL WIlCI CJ U l U O C JJ-LClIK-lD WCJ.C Ul t J I I ;: manufactured at Tobaccoville in North Carolina. f",
"And then the American Tobacco Company, also a f company that manufactured cigarettes, correct?","They were, yes.",
And when did the American Tobacco Company f merge with R.J. Reynolds?,"Well, they didn't. Brown & Williamson J en actually acquired American Tobacco in 1994, so that had f I ** I en o United Reporting, Inc. Q Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 o o happened Q Tobacco 2004? A had made that buy< Q Reynolds A Q A Q A Q A Scientif Q A is the p Q previous to the Reynolds merger. And Brown & Williamson brought American into R.J. Reynolds at the time it merged in In essence, the brands that American Tobacco that Brown & Williamson acquired in that -~ Dut, yes. And is that how you came to work at R.J. , because of the merger? I did, yes. What division of R.J. Reynolds do you work I work in Research & Development. Who is the head of Research & Development? My boss, Danny Herko. And who does he report to? He reports to Jeff Gentry who is the Chief ic Officer. And who does Jeff Gentry report to? I believe he reports to Andrew Gilchrist w resident of R.J. Reynolds. Have you reviewed any of Jeff Gentry's depositions that he has given in tobacco litigation? A you -- I been. I may have some time ago. But I couldn't couldn't tell you what one that would have in l I J in? [ I ho | tell | \ en co o United Reporting, Inc. Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 Q A Q Reynolds A Q R.J. Rey You know that he has testified in litigation? Sure, yes. And he has testified on behalf of the R.J. Tobacco Company? \ Yes. And he's testified as to time periods when the l nolds Tobacco Company publicly admitted for the first time that it was their position that cigarette smoking diseases A Q A did actually cause lung cancer and other ?",
In Research & Development.,"No, not that I'm not that I'm aware of.",
Are you aware of any medical doctors being 4 employed by Brown & Williamson in any department in when you were hired?,"There was an on-site doctor in Louisville, but, I mean, he was a medical doctor treating the employees,",
"Like they had a clinic, if somebody got sick they could go to that --","Yeah, they did. But in terms of R&D, no, not that I'm aware of.",
Nothing that physician that you just referred to did nothing other than run a clinic essentially inside of Brown & Williamson for employees who might need medical services? JL ' Jr\. JL i L O. L- O ILl y LJ i I w*. t ? L O L CL11 \JL Am 11 ^-A y >3- wt -L O \l AITS yOU clWcLITG 0 1 3. p l i y S X CXciri / 3i mSQXCcLX QOCL.02T working in the Research & Development department ever at R.J. Reynolds?,"I believe that Dr. Eman was the head of the department in the early '90s who was -- who was an MD. And there may have been others. But in my tenure there, no, there has not been.",
"Okay. You know that doctor -- this Dr. Eman !-!MHM'W^!WWMW!WWiTOWMWMhWffiBWH^ United Reporting, Inc. Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 was a medical doctor? |","I believe he was, yes.",
"You say ""I believe he was,"" I mean, are -- f","I mean, I have not met the man, so I didn't -- | I didn't look for his credentials, but I'm giving you the best information that I have.",
How do you know that he was a medical doctor? ;,"I believe -- I believe he was an MD, so I think that was part of his qualifications, but I haven't j met the man.",
How is it that you know he was an MD is my [ question.,"Oh, talking to other people who worked there at the time. i",
Do you know what his medical training was I related to? f,I don't off the top of my head.,
But it's your understanding that he was head | of the Research & Development department in the early f 90s? j,"I think so, around '94/'95 timeframe, sort of f mid '90ish.",
Have you seen any documents authored by him? |,"Not that I recall, no.",
Have you seen any documents authored by him \ CO (Joked Reporting. Inc. Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 o o where he took a position on whether or not during the \ time that he was employed at R.J. Reynolds Tobacco Company he believed that cigarette smoking was the cause | of any disease including lung cancer? |,"Have I seen documents? No, I have not.",
You've seen documents where individuals within \ Research & Development offer them and circulate them to some degree within the company? \,"Yes, I've seen lots of documents, yes.",
"And you've seen documents by the head of j Research &. Development where those documents have also [ been circulated internally in the company, correct?","I have seen some, yes, sir. {",
So it wouldn't -- j,Certainly. \,
It wouldn't be unusual for you to see a document by the head of the Research & Development f department?,"I don't know about how common it is, but I have seen them, yeah. |",
"Okay. And how many documents do you think \ that you have we'll get in -- strike that -- we'll get into the work that you've done as an employee of Brown & Williamson and R.J. Reynolds, but also the work that you've done in connection with your testifying in J United Reporting, Inc. 7*J*T'""IW/A-D"" ,""AI.XA. I Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221 litigation, but combining the two to- -- two capacities \ together, how many documents, internal business records, do you think you have reviewed?","Internal business records, it's hard to put a number on it. My reliance list is over a thousand f documents long, those are not all internal records obviously. But it's probably safe to say I've seen probably thousands, I guess, of documents over -- over f time, internal documents. jj",
"And in the thousands of documents that you've f seen over time, you've never seen a document authored by I Dr. Eman? \","No. And I haven't -- honestly, I haven't looked for one either, so I suppose I could I suppose j I could search, but I have not.",
And have you seen any documents where he was \ designated as the recipient or somebody who was CCed on | a document?,"I believe I have, but, you know, I'd have to | go and look and check that. \",
"Nothing comes to mind specifically, though? \","No, not that no. And his name doesn't often come up in these type of proceedings. So, no, not \ that I can think of off the top of my head, but it's certainly possible. United Reporting. Inc. Source: https://www.industrydocuments.ucsf.edu/docs/rspw0221",
So in connection with your employment at R.J. Reynolds Tobacco Company you also serve as a witness for \ litigation? j,"I do, yes.",
And you do that as part of your employment?,It's not a part of my job description but I agreed to do that around 2008.,
Okay. And you do that on behalf of the R.J. Reynolds Tobacco Company?,Yes.,
You don't do that in your own personal capacity?,I do not.,
How many people work in the Research & | Development department presently?,About 188 currently.,
And has that number increased or decreased since you started in 2004?,"It's kind of gone up and down. So in there were, I think, close to 300 R&D employees. And it \ has gone down and it's come back up. Certain divisions have moved away from R&D so -- and are no longer JL U k-J w JL L-. JL 11 -J L* \J X\ Oc LJ O \J L. I i vl? 11 >H- d \A, w \J LlilL* IIUII LLJkJ tzi. X. 11 Ct o """" """""""""" IL Ct *y moved around quite a bit.",
