question,answer,Declarative_Text
Please state your full name.,My name is James Figlar.
"Good morning, Dr. Figlar. My name is Gary Paige. You and I have met a couple times in the past. I'm sure you understand the rules of a deposition, but I'm going to be asking you some qiiestions, and if you don't understand my question or you don't know the answer, just feel free to let me know, okay?","I will try. Qt And if you need any breaks, you let us VBRITEXT REPORTING COMPANY 212-279-9424 www.veritext.com 212-490-3430 http://www.veritext.com know as well, okay?"
"And this is not the first time that you've given a deposition in a tobacco oase, is it?","No, sir, it is not."
And how many depositions have you given in the past?,"I have not counted recently, but I would say it'8 certainly over 65 depositions."
"Okay. And most of them have been in the past three or four years, correct?","Since about '09 I would say, something like that."
Okay. And my understanding is before you gave any deposition at all in any case you spent about a year reviewing documents and meeting with lawyers; is that correct?,Approximately.
And so now you've been designated as this ocise in this oase as the corporate representative with most knowledge of certain subject matters; is that correct?,
Have you reviewed the deposition notice in this oase?,"I have, yes."
And do you have an understanding of the scope of this deposition?,I do.
"And do you understand that you are listed as the R. J. Reynolds corporate representative with the knowledge of the relationship and participation with TIRC, CTR, TI and the actual roles and purpose served by each suoh entity?",
"And you are familiar with the TIRC, I take it?",I am.
"And you're familiar with who the CTR and the TI are as well, correct?","Yes, I am."
So what i s your understanding of your r o l e in t h i s depos i t ion then?,"My understanding of my r o l e in t h i s depos i t i on i s I am the person with the most knowledge with regard to those organisa t ions and the r e l a t i o n s h i p Reynolds had with them over tho VERITEXT REPORTING COMPANY www.veritext.com 212-490-3430 GO si O CD CX> s j http://www.veritext.com years, and I have -- obviously in the Duvall County deposition I spent a great deal of time reviewing a lot of those documents, and I've reviewed many of the documents that you sent with regard to this subject. So I think I'm reasonably well prepared to take the deposition."
Okay. And you've been designated from R. J. Reynolds as the person from that company with the most knowledge on these topics?,That is correct.
"And you and in advance of your dieposition we actually sent you the exhibits that W0 intend to go over with you for you to review, correct?","Yes, you have."
"And you have done that, right?",I have.
And then yesterday your lawyer sent me additional documents that you've reviewed in preparation for this deposition. Did ~- did you bring with you everything that you reviewed to prepare for this deposition?,"I believe I have it all here, yes."
Okay. And tell me what you brought with you. VBR1TEXT REPORTING COMPANY 212-279-9424 www.veritext.com 212-490-3430 http://www.veritext.com c c c,"Well, we brought the"
"So I want to talk to you then I want to just get into the subject matter we're here for today, okay, Dr. Figlar? and",Okay.
Okay. So you --.I want to go back to are you aware of the Wynder and Graham findings linking oigarette smoke into lung oanoer? t)ie,"Well, I under -- I know the data. I know article where they talked about both the VBRITEXT REPORTING COMPANY 212-279-9424 www.veritext.com 212-490-3430 sj o http://www.veritext.com ""H * W I M I I I r c i epidemiology or the early parts of the epidemiology that came out at that time frame, yes."
Okay. So what is your understanding about the article that was published by Wynder and Graham in 1953? What -- what was that article and what was the significance of it?,"Well, if it's the article I'm thinking of, which I'm thinking it is the epidemiology as opposed to the other -- some other scientific articles, then they would have suggested that there may be an association between lung cancer and cigarette smoking or they first made that proposition in the early '50s. 0^ Okay. And did that article and those findings receive a lot of publioity in 1953?"
