question,answer,Declarative_Text
"Good morning, Mr. Wilson. Could you please state your current position.","Yes. I am director of regulatory 0 affairs, engagement, and communications for Altria Client Services."
"Within that position, do you provide services to Philip Morris USA?","Yes, I do. 5 Q. How long have you held your current http://www.phippsreporting.com position as director of regulatory affairs, engagement, and communications?"
"You described your responsibilities in that position to some extent in your earlier testimony, but just so the record is clear, could you please describe your job responsibilities since November 2009 as the director of regulatory affairs, engagement, and communications?","Sure. In a general sense, starting back in 2009, I held the regulatory affairs function and group for Altria Client Services to support our regulated tobacco operating companies. I worked with and continue to work with people inside the company to help them understand the FDA's regulatory requirements and what the law says and help to communicate about that internally, help to build training and education about that internally, and then I work closely with and interact with the Food and Drug Administration itself to provide them information and to meet with them and to kind of work with them as they implement the regulatory authority."
"You mentioned the FDA implementing its http://www.phippsreporting.com regulatory authority. Does the FDA regulate the tobacco industry, including Philip Morris USA?","Yes, it does."
How long has the FDA regulated Philip Morris USA?,"The law that granted the Food and Drug Administration that authority went into effect in June of 2009. So since the summer of 2009, FDA has had the authority to regulate tobacco products, including Philip Morris USA."
What is the name of that law?,It is the Family Smoking Prevention and Tobacco Control Act.
What areas of Philip Morris USA's business does the FDA regulate?,"Well, it really regulates all aspects of Philip Morris's business from the products itself and how they are manufactured to how the products -- what we can say about the products, and even how the products themselves are sold."
"With regard to the first area, the products and how they are manufactured, can you 3 describe what the FDA has done in its regulation of Philip Morris's products, Philip Morris USA's products and how they are manufactured? http://www.phippsreporting.com","Sure. There are a number of things, but I can give you some examples. So FDA required the companies, including Philip Morris, to register all of its manufacturing centers and provide a list of all the products that it manufacturers and sells and distributes, required that companies provide extensive ingredient information, established a list of harmful and potentially harmful constituents and required testing and reporting of those constituents. And in the manufacturing world specifically, they have the authority and have conducted inspections."
"With regard to the second area that you mentioned, which I believe you said was what Philip Morris can say about its products, what has the FDA done to regulate Philip Morris USA's marketing of its cigarettes?","So they have implemented a number of 0 things that maybe a good example to explain what I'm talking about is that there was a provision in the law that went into effect in 2010 that required the removal of descriptors, words that previously were on cigarette packs like low, mild, medium, so forth. Those were required to be removed. http://www.phippsreporting.com And FDA, it has authority over statements the company makes if it were to make some kind of a claim about a product, it would need FDA's authorization to be able to do that."
"And as to the third area of Philip Morris USA's business that the FDA regulates, what has the FDA done to regulate how Philip Morris USA cigarettes are sold?","Again, there are a couple of examples that come to mind for that. One requirement that was in the law that's been implemented was that all tobacco products need to be sold in a clerk-assisted manner, which sometimes is referred to in a non-self-service manner, so, in other words, for a consumer that wants to purchase it, they need to ask a clerk to actually get the product and provide it to them for the transaction. So that went into place. And FDA has also developed they have entered into contracts with state officials to conduct inspections at retail to ensure that products are being sold to adults and that they are not being sold to youth. And they have retailer enforcement actions that they follow to conduct those inspections and assess compliance with the law at retail. http://www.phippsreporting.com"
